Tk,Fold,Model,MAE,RMSE,MAPE,WAPE,sMAPE,MdAPE,MASE
IMOEX,2,SARIMAX,14.403353472356194,17.174465681597567,887.5713318083336,171.01043058291953,185.62018510110053,157.62979773365075,2.3070260673197223
IMOEX,2,Naive,10.362499237060547,12.221166815609749,1669.9625244140625,123.03353881835938,103.5288314819336,223.19522094726562,1.6597909582905366
IMOEX,2,sNaive,21.174165725708008,27.079824492253454,930.9378662109375,251.39999389648438,178.0860137939453,220.85903930664062,3.39152631202941
IMOEX,2,CatBoost,7.699954494004364,10.15977476804782,175.75186976577984,91.4212468655861,171.61352396090163,93.3299659276277,1.2333235984895787
IMOEX,2,LSTM_base,7.412892818450928,8.245861518224423,798.021728515625,88.01297760009766,108.80401611328125,69.50969696044922,1.1873441139409768
IMOEX,2,LSTM_att,6.950675964355469,8.30250487619479,609.6813354492188,82.52509307861328,110.08767700195312,67.40498352050781,1.1133095265652424
IMOEX,2,Hybrid,8.49427318572998,11.458309733048612,103.41218566894531,100.85215759277344,188.6507110595703,100.81649017333984,1.36055188120078
IMOEX,3,RF,9.62612583163457,11.235588777577998,95.61908319048943,96.06911568727602,151.15660130925946,89.32737947873632,1.4024518714227872
IMOEX,3,SARIMAX,9.666836793507942,11.83423725163097,125.34239500751684,96.47541269339871,137.34283295645903,99.3884538949741,1.4083831428049978
IMOEX,3,Naive,10.361666679382324,12.976177395888602,181.4133758544922,103.40983581542969,117.63003540039062,97.98648071289062,1.5096144679308963
IMOEX,3,sNaive,13.131668090820312,15.21937111717,262.1398620605469,131.0545654296875,149.94520568847656,120.82553100585938,1.9131821888667975
IMOEX,3,CatBoost,11.130537347080397,12.790107169606205,149.86041210862106,111.08320198185481,150.34774065074228,120.28219653267348,1.6216329606927085
IMOEX,3,LSTM_base,10.337971687316895,11.741176457637241,133.5706787109375,103.1733627319336,164.2408905029297,99.541259765625,1.5061622913702801
IMOEX,3,LSTM_att,10.01684856414795,11.479667934174152,102.25164794921875,99.96854400634766,197.9961395263672,99.80227661132812,1.4593771430227083
IMOEX,3,Hybrid,10.05001163482666,11.675751845270769,93.77284240722656,100.29951477050781,177.037109375,101.02761840820312,1.4642087452008803
IMOEX,4,RF,11.59942530988169,14.535273208155656,107.7023390878504,102.09264152656922,151.6903517238299,109.78446146677203,1.514695479150254
IMOEX,4,SARIMAX,10.979484874830488,14.2747133534404,103.88353962432093,96.63621977181305,154.96824900594362,102.41357226927703,1.433741384509502
IMOEX,4,Naive,13.21166706085205,16.0591700326845,213.36500549316406,116.28282928466797,135.15170288085938,139.650146484375,1.7252279172885192
IMOEX,4,sNaive,12.707500457763672,15.541344906064527,246.1607208251953,111.84539794921875,151.221923828125,120.28861999511719,1.6593919940392925
IMOEX,4,CatBoost,10.890699636068788,14.091006920471951,94.41536339000656,95.85477419915809,153.57551795616197,95.72349854132054,1.4221474825553202
IMOEX,4,LSTM_base,11.320666313171387,14.477842040727271,137.59898376464844,99.6391372680664,160.75848388671875,106.79719543457031,1.4782941074607574
IMOEX,4,LSTM_att,11.60103702545166,14.691254091375036,125.34734344482422,102.1068344116211,175.09642028808594,106.57122802734375,1.5149059428777483
IMOEX,4,Hybrid,12.757378578186035,15.552631727064565,188.3953399658203,112.2844009399414,137.21202087402344,132.64642333984375,1.6659052618516128
